id,name,type,latitude,longitude,tarif,durasi,rating
98,Cemeti - Institute for Art and Society,location,-7.817791799999999,110.3623492,0,3600,4.6
99,Selfie Park Jogja,location,-7.816513499999999,110.38660619999999,10000,5400,4.4
100,Hotel Tentrem Yogyakarta,hotel,-7.7738153,110.3684775,0,0,4.8
101,The Phoenix Hotel Yogyakarta - MGallery Collection,hotel,-7.782622699999999,110.36850659999999,0,0,4.6
102,Novotel Suites Yogyakarta Malioboro,hotel,-7.7931709,110.36656289999999,0,0,4.7
103,Yogyakarta Marriott Hotel,hotel,-7.7615123,110.3984402,0,0,4.7
104,Meliá Purosani Yogyakarta,hotel,-7.7973538,110.3689898,0,0,4.6
105,éL Hotel Royale Yogyakarta Malioboro,hotel,-7.7938589,110.3649049,0,0,4.5
106,Swiss-Belboutique Yogyakarta,hotel,-7.782607499999999,110.37423779999999,0,0,4.8
107,Aveta Hotel Malioboro,hotel,-7.7938902,110.36581659999999,0,0,4.4
108,Gaia Cosmo Hotel,hotel,-7.7989469,110.3929241,0,0,4.6
109,Grand Mercure Yogyakarta Adi Sucipto,hotel,-7.7837159,110.3923981,0,0,4.6
110,Malioboro Prime Hotel Yogyakarta,hotel,-7.790049,110.36519,0,0,4.2
111,Grand Zuri Malioboro Hotel,hotel,-7.787678,110.36669839999999,0,0,4.6
112,ARTOTEL Suites Bianti - Yogyakarta,hotel,-7.782889399999999,110.38191619999999,0,0,4.7
113,Lynn Hotel By Horison,hotel,-7.824458699999999,110.36685349999999,0,0,4.3
114,The Alana Hotel & Conference Center Malioboro,hotel,-7.8152832,110.36558529999999,0,0,4.5
115,The Manohara Hotel Yogyakarta,hotel,-7.774500499999999,110.38917359999999,0,0,4.7
116,THE 1O1 Yogyakarta Tugu,hotel,-7.7841438,110.3667813,0,0,4.6
117,Patra Malioboro Hotel,hotel,-7.7917305,110.3637213,0,0,4.8
118,D'Senopati Malioboro Grand Hotel,hotel,-7.801747199999999,110.37002779999999,0,0,4.4
119,Hotel Santika Premiere Jogja,hotel,-7.7824228,110.3697363,0,0,4.6
120,Harper Malioboro Yogyakarta,hotel,-7.784761199999999,110.36722999999999,0,0,4.6
121,Hotel New Saphir Yogyakarta,hotel,-7.783555,110.391437,0,0,4.5
122,KJ Hotel Yogyakarta,hotel,-7.8224427,110.3673455,0,0,4.5
123,Arte Hotel Malioboro,hotel,-7.7899967,110.3622553,0,0,4.4
124,ibis Styles Yogyakarta,hotel,-7.7938979999999995,110.3614602,0,0,4.4
125,Kotta GO Hotel Yogyakarta,hotel,-7.783135,110.3628832,0,0,4.7
126,Tasneem Hotel and Convention Yogyakarta,hotel,-7.8087447999999995,110.3711512,0,0,4.3
127,Grand Serela Yogyakarta,hotel,-7.768796,110.361195,0,0,4.3
128,Grand Rohan Jogja,hotel,-7.798237899999999,110.4051231,0,0,4.7
129,Amaris Hotel Malioboro Jogja,hotel,-7.796214399999999,110.3646619,0,0,4.3
130,Whiz Hotel Malioboro Yogyakarta,hotel,-7.7937804999999996,110.3648101,0,0,4.1
131,Horison Ultima Riss Malioboro Yogyakarta,hotel,-7.7876435,110.3644008,0,0,4.5
132,PORTA by The Ambarrukmo,hotel,-7.776762199999999,110.38233659999999,0,0,4.7
133,KHAS Malioboro Hotel Yogyakarta,hotel,-7.7982187,110.3633193,0,0,4.5
134,Malioboro Garden Hotel,hotel,-7.7942029999999995,110.366817,0,0,4.2
135,Horaios Malioboro Hotel,hotel,-7.7874194999999995,110.3636363,0,0,4.3
136,Museum Batik Yogyakarta,hotel,-7.7955906,110.3772754,0,0,4.2
137,Nueve Malioboro Hotel Yogyakarta,hotel,-7.7959233999999995,110.3688956,0,0,4.3
138,Hotel Zamrud Sosrokusuman,hotel,-7.7937897,110.3672539,0,0,4.6
139,Sahid Raya Hotel & Convention Yogyakarta,hotel,-7.779761199999999,110.4139668,0,0,4.3
140,Le Krasak Boutique Hotel,hotel,-7.7887602,110.37275629999999,0,0,4.3
141,Cavinton Hotel Yogyakarta by Tritama Hospitality,hotel,-7.8008378,110.35603499999999,0,0,4.4
142,The Jayakarta Yogyakarta Hotel & Spa,hotel,-7.7839979999999995,110.4197006,0,0,4.4
143,Yellow Star Hotel - Ambarrukmo,hotel,-7.7834794,110.3975966,0,0,4.3
144,Summer Quest Hotel,hotel,-7.792075799999999,110.36449929999999,0,0,4.1
145,Burza Hotel Yogyakarta,hotel,-7.8237862,110.3666306,0,0,4.4
146,The Alana Yogyakarta Hotel & Convention Center,hotel,-7.7393398,110.37719589999999,0,0,4.6
147,Agung Mas Hotel Yogyakarta,hotel,-7.791444899999999,110.35396019999999,0,0,4.3
148,All Nite & Day Hotel Gejayan Yogyakarta,hotel,-7.7802114,110.3879623,0,0,4.1
149,Tara Hotel Yogyakarta,hotel,-7.771604,110.3608098,0,0,4.4
150,POP! Hotel Timoho - Yogyakarta,hotel,-7.7986173999999995,110.3914401,0,0,4.3
151,Grand Puri Saron Hotel Malioboro,hotel,-7.791408499999999,110.3629208,0,0,4.3
152,Uniq Hotel Yogyakarta,hotel,-7.7775981,110.3607775,0,0,4.3
153,Hotel Citradream Yogyakarta,hotel,-7.7801874,110.36768389999999,0,0,4.3
154,The Rich Jogja Hotel,hotel,-7.7524542,110.36108229999999,0,0,4.5
155,The Victoria Hotel Yogyakarta,hotel,-7.7796239,110.40378869999999,0,0,4.4
156,Abadi Malioboro Jogja by Tritama Hospitality,hotel,-7.7903142999999995,110.3632615,0,0,4.4
157,Hotel Indah Palace Yogyakarta,hotel,-7.8185351,110.3729171,0,0,4.3
158,Hotel Dafam Fortuna Malioboro Yogyakarta,hotel,-7.7933718999999995,110.36297309999999,0,0,4.4
159,Indonesia Hotel,hotel,-7.7917673999999995,110.3651953,0,0,4.2
160,Duta Garden Hotel and Boutique Villa,hotel,-7.8167503,110.3695223,0,0,4.4
161,Hotel Grand Rosela,hotel,-7.819400699999999,110.37123989999999,0,0,4.2
162,Kalya Hotel,hotel,-7.8135292,110.40140749999999,0,0,4.3
163,Top Malioboro Hotel Jogja,hotel,-7.7912164,110.35327199999999,0,0,4.1
164,Hotel Dafam Fortuna Seturan,hotel,-7.7658154999999995,110.4108134,0,0,4.4
165,Royal Brongto Hotel,hotel,-7.817778,110.3599488,0,0,4.4
166,Satoria Hotel Yogyakarta,hotel,-7.7836064,110.42206499999999,0,0,4.5
167,Prime Cailendra Hotel RedPartner near Malioboro Yogyakarta,hotel,-7.810461999999999,110.37723799999999,0,0,4.6
168,POP! Hotel Malioboro - Yogyakarta,hotel,-7.7907481999999995,110.3620009,0,0,4.1
169,@HOM Premiere Timoho By Horison,hotel,-7.7985481,110.3927832,0,0,4.5
170,Tab Hotel Malioboro Jogja,hotel,-7.7922148,110.3601348,0,0,4.6
171,POP! Hotel Sangaji,hotel,-7.7813117,110.367661,0,0,4.2
172,Ceria Hotel @Alun Alun Yogyakarta,hotel,-7.8035485,110.368612,0,0,4.3
173,Grand Sarila,hotel,-7.7589596,110.3959946,0,0,4.2
174,Urban Nurdiono Hotel,hotel,-7.795883099999999,110.39088679999999,0,0,4.6
175,Hotel Madina Inn Yogyakarta,hotel,-7.8072349,110.3773569,0,0,4.8
176,Front One Cabin Malioboro Jogja,hotel,-7.7970350999999996,110.3704515,0,0,4.6
177,Pawon Cokelat,hotel,-7.790546699999999,110.3654284,0,0,4.2
178,YezYezYez Yogyakarta,hotel,-7.8180361,110.3699946,0,0,4.5
179,Tickle Hotel,hotel,-7.7829118,110.3853717,0,0,4.2
180,Happy Family Hotel /dekat Malioboro Yogya/Diy.,hotel,-7.7908228,110.3604696,0,0,4.1
181,h-Boutique Hotel Jogjakarta,hotel,-7.781765,110.3790782,0,0,4.3
182,Malioboro Inn Hotel,hotel,-7.7918185,110.3642496,0,0,4.2
183,Forriz Hotel Yogyakarta,hotel,-7.7954415,110.3535053,0,0,4.4
184,Hotel Radyoharto Malioboro Yogyakarta,hotel,-7.795443799999999,110.3621311,0,0,4.3
185,Grand Tjokro Yogyakarta,hotel,-7.7669396,110.39149909999999,0,0,4.4
186,Grage Bussines Hotel Yogyakarta,hotel,-7.7913443,110.3622759,0,0,4.3
187,Hotel Laxston Jl. Magelang,hotel,-7.7801399,110.36065669999999,0,0,4.2
